"id","name","country_id/id","name@ar_001","preceding_subtotal"
"eg_tax_vat","VAT 14%","base.eg","قيمة مضافة %14",""
"eg_tax_group_other","Other Taxes","base.eg","ضرائب اخرى",""
"eg_tax_group_stamp","Stamp Tax 20%","base.eg","ضريبة الدمغة",""
"eg_tax_group_withholding_half","Withholding Tax -0.5%","base.eg","-ضرائب الصناعة و التجارة %0.5","Subtotal W/O WHTax"
"eg_tax_group_withholding_1","Withholding Tax -1%","base.eg","-ضرائب الصناعة و التجارة %1","Subtotal W/O WHTax"
"eg_tax_group_withholding_3","Withholding Tax -3%","base.eg","-ضرائب الصناعة و التجارة %3","Subtotal W/O WHTax"
"eg_tax_group_withholding_5","Withholding Tax -5%","base.eg","-ضرائب الصناعة و التجارة %5","Subtotal W/O WHTax"
"eg_tax_group_schedule_half","Schedule Tax 0.5%","base.eg","ضرائب الجدول %0.5",""
"eg_tax_group_schedule_1","Schedule Tax 1%","base.eg","ضرائب الجدول %1",""
"eg_tax_group_schedule_5","Schedule Tax 5%","base.eg","ضرائب الجدول %5",""
"eg_tax_group_schedule_8","Schedule Tax 8%","base.eg","ضرائب الجدول %8",""
"eg_tax_group_schedule_10","Schedule Tax 10%","base.eg","ضرائب الجدول %10",""
"eg_tax_group_schedule_15","Schedule Tax 15%","base.eg","ضرائب الجدول %15",""
"eg_tax_group_schedule_30","Schedule Tax 30%","base.eg","ضرائب الجدول %30",""