"id","name","country_id/id","name@it"
"tax_group_iva_2","TVA 2%","base.it","IVA 2%"
"tax_group_iva_4","TVA 4%","base.it","IVA 4%"
"tax_group_iva_5","TVA 5%","base.it","IVA 5%"
"tax_group_iva_10","TVA 10%","base.it","IVA 10%"
"tax_group_iva_12","TVA 12%","base.it","IVA 12%"
"tax_group_iva_21","TVA 21%","base.it","IVA 21%"
"tax_group_iva_20","TVA 20%","base.it","IVA 20%"
"tax_group_iva_22","TVA 22%","base.it","IVA 22%"
"tax_group_imp_esc_art_15","Taxable Excluded Art.15","base.it","Imponibile Escluso Art.15"
"tax_group_fuori","Outside VAT Field","base.it","Fuori Campo IVA"